image_path,class_id,class_name
raw\images\rolled-in_scale\RS_296.bmp,4,氧化铁皮
raw\images\inclusion\In_138.bmp,1,夹杂
raw\images\patches\Pa_25.bmp,2,斑块
raw\images\rolled-in_scale\RS_15.bmp,4,氧化铁皮
raw\images\crazing\Cr_65.bmp,0,裂纹
raw\images\scratches\Sc_235.bmp,5,划痕
raw\images\crazing\Cr_9.bmp,0,裂纹
raw\images\scratches\Sc_163.bmp,5,划痕
raw\images\crazing\Cr_241.bmp,0,裂纹
raw\images\pitted_surface\PS_52.bmp,3,麻点
raw\images\scratches\Sc_90.bmp,5,划痕
raw\images\scratches\Sc_209.bmp,5,划痕
raw\images\patches\Pa_90.bmp,2,斑块
raw\images\inclusion\In_275.bmp,1,夹杂
raw\images\scratches\Sc_36.bmp,5,划痕
raw\images\patches\Pa_96.bmp,2,斑块
raw\images\pitted_surface\PS_121.bmp,3,麻点
raw\images\inclusion\In_64.bmp,1,夹杂
raw\images\rolled-in_scale\RS_182.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_111.bmp,4,氧化铁皮
raw\images\patches\Pa_54.bmp,2,斑块
raw\images\patches\Pa_203.bmp,2,斑块
raw\images\rolled-in_scale\RS_100.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_196.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_27.bmp,3,麻点
raw\images\pitted_surface\PS_19.bmp,3,麻点
raw\images\patches\Pa_75.bmp,2,斑块
raw\images\pitted_surface\PS_238.bmp,3,麻点
raw\images\inclusion\In_48.bmp,1,夹杂
raw\images\patches\Pa_62.bmp,2,斑块
raw\images\rolled-in_scale\RS_143.bmp,4,氧化铁皮
raw\images\scratches\Sc_157.bmp,5,划痕
raw\images\pitted_surface\PS_68.bmp,3,麻点
raw\images\rolled-in_scale\RS_242.bmp,4,氧化铁皮
raw\images\patches\Pa_191.bmp,2,斑块
raw\images\crazing\Cr_10.bmp,0,裂纹
raw\images\rolled-in_scale\RS_144.bmp,4,氧化铁皮
raw\images\inclusion\In_274.bmp,1,夹杂
raw\images\pitted_surface\PS_146.bmp,3,麻点
raw\images\rolled-in_scale\RS_50.bmp,4,氧化铁皮
raw\images\scratches\Sc_300.bmp,5,划痕
raw\images\pitted_surface\PS_91.bmp,3,麻点
raw\images\inclusion\In_245.bmp,1,夹杂
raw\images\crazing\Cr_287.bmp,0,裂纹
raw\images\patches\Pa_182.bmp,2,斑块
raw\images\rolled-in_scale\RS_218.bmp,4,氧化铁皮
raw\images\patches\Pa_264.bmp,2,斑块
raw\images\inclusion\In_91.bmp,1,夹杂
raw\images\pitted_surface\PS_66.bmp,3,麻点
raw\images\patches\Pa_211.bmp,2,斑块
raw\images\rolled-in_scale\RS_282.bmp,4,氧化铁皮
raw\images\scratches\Sc_107.bmp,5,划痕
raw\images\inclusion\In_139.bmp,1,夹杂
raw\images\crazing\Cr_87.bmp,0,裂纹
raw\images\crazing\Cr_89.bmp,0,裂纹
raw\images\inclusion\In_276.bmp,1,夹杂
raw\images\patches\Pa_22.bmp,2,斑块
raw\images\inclusion\In_158.bmp,1,夹杂
raw\images\scratches\Sc_8.bmp,5,划痕
raw\images\inclusion\In_77.bmp,1,夹杂
raw\images\pitted_surface\PS_158.bmp,3,麻点
raw\images\patches\Pa_268.bmp,2,斑块
raw\images\scratches\Sc_84.bmp,5,划痕
raw\images\patches\Pa_254.bmp,2,斑块
raw\images\patches\Pa_188.bmp,2,斑块
raw\images\patches\Pa_248.bmp,2,斑块
raw\images\crazing\Cr_269.bmp,0,裂纹
raw\images\crazing\Cr_34.bmp,0,裂纹
raw\images\scratches\Sc_146.bmp,5,划痕
raw\images\inclusion\In_10.bmp,1,夹杂
raw\images\patches\Pa_300.bmp,2,斑块
raw\images\pitted_surface\PS_259.bmp,3,麻点
raw\images\rolled-in_scale\RS_181.bmp,4,氧化铁皮
raw\images\scratches\Sc_109.bmp,5,划痕
raw\images\crazing\Cr_19.bmp,0,裂纹
raw\images\scratches\Sc_287.bmp,5,划痕
raw\images\rolled-in_scale\RS_160.bmp,4,氧化铁皮
raw\images\patches\Pa_6.bmp,2,斑块
raw\images\pitted_surface\PS_164.bmp,3,麻点
raw\images\scratches\Sc_128.bmp,5,划痕
raw\images\crazing\Cr_137.bmp,0,裂纹
raw\images\crazing\Cr_53.bmp,0,裂纹
raw\images\pitted_surface\PS_247.bmp,3,麻点
raw\images\scratches\Sc_51.bmp,5,划痕
raw\images\rolled-in_scale\RS_202.bmp,4,氧化铁皮
raw\images\scratches\Sc_40.bmp,5,划痕
raw\images\pitted_surface\PS_111.bmp,3,麻点
raw\images\patches\Pa_41.bmp,2,斑块
raw\images\scratches\Sc_29.bmp,5,划痕
raw\images\pitted_surface\PS_268.bmp,3,麻点
raw\images\inclusion\In_289.bmp,1,夹杂
raw\images\scratches\Sc_247.bmp,5,划痕
raw\images\scratches\Sc_167.bmp,5,划痕
raw\images\scratches\Sc_93.bmp,5,划痕
raw\images\scratches\Sc_100.bmp,5,划痕
raw\images\crazing\Cr_224.bmp,0,裂纹
raw\images\crazing\Cr_132.bmp,0,裂纹
raw\images\patches\Pa_163.bmp,2,斑块
raw\images\pitted_surface\PS_130.bmp,3,麻点
raw\images\patches\Pa_60.bmp,2,斑块
raw\images\rolled-in_scale\RS_163.bmp,4,氧化铁皮
raw\images\crazing\Cr_198.bmp,0,裂纹
raw\images\inclusion\In_27.bmp,1,夹杂
raw\images\inclusion\In_104.bmp,1,夹杂
raw\images\crazing\Cr_192.bmp,0,裂纹
raw\images\scratches\Sc_6.bmp,5,划痕
raw\images\pitted_surface\PS_178.bmp,3,麻点
raw\images\pitted_surface\PS_43.bmp,3,麻点
raw\images\crazing\Cr_58.bmp,0,裂纹
raw\images\crazing\Cr_97.bmp,0,裂纹
raw\images\scratches\Sc_279.bmp,5,划痕
raw\images\rolled-in_scale\RS_13.bmp,4,氧化铁皮
raw\images\patches\Pa_39.bmp,2,斑块
raw\images\rolled-in_scale\RS_221.bmp,4,氧化铁皮
raw\images\crazing\Cr_144.bmp,0,裂纹
raw\images\pitted_surface\PS_74.bmp,3,麻点
raw\images\patches\Pa_97.bmp,2,斑块
raw\images\scratches\Sc_20.bmp,5,划痕
raw\images\pitted_surface\PS_199.bmp,3,麻点
raw\images\inclusion\In_260.bmp,1,夹杂
raw\images\scratches\Sc_275.bmp,5,划痕
raw\images\inclusion\In_76.bmp,1,夹杂
raw\images\scratches\Sc_266.bmp,5,划痕
raw\images\pitted_surface\PS_201.bmp,3,麻点
raw\images\patches\Pa_135.bmp,2,斑块
raw\images\scratches\Sc_272.bmp,5,划痕
raw\images\scratches\Sc_258.bmp,5,划痕
raw\images\scratches\Sc_274.bmp,5,划痕
raw\images\pitted_surface\PS_108.bmp,3,麻点
raw\images\rolled-in_scale\RS_197.bmp,4,氧化铁皮
raw\images\patches\Pa_143.bmp,2,斑块
raw\images\crazing\Cr_214.bmp,0,裂纹
raw\images\rolled-in_scale\RS_48.bmp,4,氧化铁皮
raw\images\crazing\Cr_85.bmp,0,裂纹
raw\images\scratches\Sc_179.bmp,5,划痕
raw\images\crazing\Cr_104.bmp,0,裂纹
raw\images\patches\Pa_216.bmp,2,斑块
raw\images\pitted_surface\PS_21.bmp,3,麻点
raw\images\patches\Pa_170.bmp,2,斑块
raw\images\rolled-in_scale\RS_152.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_40.bmp,3,麻点
raw\images\patches\Pa_117.bmp,2,斑块
raw\images\rolled-in_scale\RS_99.bmp,4,氧化铁皮
raw\images\patches\Pa_184.bmp,2,斑块
raw\images\crazing\Cr_128.bmp,0,裂纹
raw\images\inclusion\In_229.bmp,1,夹杂
raw\images\inclusion\In_296.bmp,1,夹杂
raw\images\rolled-in_scale\RS_289.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_122.bmp,3,麻点
raw\images\inclusion\In_240.bmp,1,夹杂
raw\images\inclusion\In_5.bmp,1,夹杂
raw\images\scratches\Sc_212.bmp,5,划痕
raw\images\patches\Pa_144.bmp,2,斑块
raw\images\pitted_surface\PS_235.bmp,3,麻点
raw\images\patches\Pa_159.bmp,2,斑块
raw\images\inclusion\In_143.bmp,1,夹杂
raw\images\rolled-in_scale\RS_166.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_210.bmp,3,麻点
raw\images\patches\Pa_14.bmp,2,斑块
raw\images\pitted_surface\PS_240.bmp,3,麻点
raw\images\crazing\Cr_219.bmp,0,裂纹
raw\images\inclusion\In_234.bmp,1,夹杂
raw\images\rolled-in_scale\RS_103.bmp,4,氧化铁皮
raw\images\inclusion\In_273.bmp,1,夹杂
raw\images\pitted_surface\PS_204.bmp,3,麻点
raw\images\rolled-in_scale\RS_38.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_70.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_101.bmp,4,氧化铁皮
raw\images\scratches\Sc_5.bmp,5,划痕
raw\images\patches\Pa_70.bmp,2,斑块
raw\images\crazing\Cr_49.bmp,0,裂纹
raw\images\inclusion\In_19.bmp,1,夹杂
raw\images\rolled-in_scale\RS_28.bmp,4,氧化铁皮
raw\images\crazing\Cr_72.bmp,0,裂纹
raw\images\patches\Pa_281.bmp,2,斑块
raw\images\crazing\Cr_240.bmp,0,裂纹
raw\images\patches\Pa_228.bmp,2,斑块
raw\images\rolled-in_scale\RS_116.bmp,4,氧化铁皮
raw\images\inclusion\In_99.bmp,1,夹杂
raw\images\crazing\Cr_293.bmp,0,裂纹
raw\images\pitted_surface\PS_79.bmp,3,麻点
raw\images\rolled-in_scale\RS_284.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_77.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_267.bmp,3,麻点
raw\images\crazing\Cr_140.bmp,0,裂纹
raw\images\inclusion\In_293.bmp,1,夹杂
raw\images\crazing\Cr_208.bmp,0,裂纹
raw\images\scratches\Sc_83.bmp,5,划痕
raw\images\inclusion\In_199.bmp,1,夹杂
raw\images\inclusion\In_72.bmp,1,夹杂
raw\images\inclusion\In_272.bmp,1,夹杂
raw\images\pitted_surface\PS_211.bmp,3,麻点
raw\images\crazing\Cr_207.bmp,0,裂纹
raw\images\rolled-in_scale\RS_119.bmp,4,氧化铁皮
raw\images\crazing\Cr_134.bmp,0,裂纹
raw\images\scratches\Sc_291.bmp,5,划痕
raw\images\pitted_surface\PS_265.bmp,3,麻点
raw\images\patches\Pa_53.bmp,2,斑块
raw\images\pitted_surface\PS_244.bmp,3,麻点
raw\images\rolled-in_scale\RS_5.bmp,4,氧化铁皮
raw\images\crazing\Cr_5.bmp,0,裂纹
raw\images\patches\Pa_286.bmp,2,斑块
raw\images\pitted_surface\PS_13.bmp,3,麻点
raw\images\rolled-in_scale\RS_213.bmp,4,氧化铁皮
raw\images\patches\Pa_109.bmp,2,斑块
raw\images\crazing\Cr_242.bmp,0,裂纹
raw\images\scratches\Sc_246.bmp,5,划痕
raw\images\scratches\Sc_153.bmp,5,划痕
raw\images\crazing\Cr_57.bmp,0,裂纹
raw\images\scratches\Sc_208.bmp,5,划痕
raw\images\crazing\Cr_169.bmp,0,裂纹
raw\images\pitted_surface\PS_200.bmp,3,麻点
raw\images\patches\Pa_59.bmp,2,斑块
raw\images\crazing\Cr_23.bmp,0,裂纹
raw\images\inclusion\In_300.bmp,1,夹杂
raw\images\scratches\Sc_104.bmp,5,划痕
raw\images\patches\Pa_79.bmp,2,斑块
raw\images\inclusion\In_247.bmp,1,夹杂
raw\images\inclusion\In_3.bmp,1,夹杂
raw\images\scratches\Sc_67.bmp,5,划痕
raw\images\pitted_surface\PS_35.bmp,3,麻点
raw\images\inclusion\In_259.bmp,1,夹杂
raw\images\patches\Pa_277.bmp,2,斑块
raw\images\patches\Pa_240.bmp,2,斑块
raw\images\rolled-in_scale\RS_257.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_33.bmp,4,氧化铁皮
raw\images\crazing\Cr_145.bmp,0,裂纹
raw\images\inclusion\In_183.bmp,1,夹杂
raw\images\scratches\Sc_96.bmp,5,划痕
raw\images\patches\Pa_166.bmp,2,斑块
raw\images\scratches\Sc_60.bmp,5,划痕
raw\images\inclusion\In_217.bmp,1,夹杂
raw\images\pitted_surface\PS_196.bmp,3,麻点
raw\images\rolled-in_scale\RS_92.bmp,4,氧化铁皮
raw\images\scratches\Sc_33.bmp,5,划痕
raw\images\inclusion\In_200.bmp,1,夹杂
raw\images\patches\Pa_256.bmp,2,斑块
raw\images\pitted_surface\PS_253.bmp,3,麻点
raw\images\scratches\Sc_259.bmp,5,划痕
raw\images\inclusion\In_172.bmp,1,夹杂
raw\images\rolled-in_scale\RS_64.bmp,4,氧化铁皮
raw\images\patches\Pa_152.bmp,2,斑块
raw\images\scratches\Sc_219.bmp,5,划痕
raw\images\patches\Pa_131.bmp,2,斑块
raw\images\patches\Pa_29.bmp,2,斑块
raw\images\rolled-in_scale\RS_206.bmp,4,氧化铁皮
raw\images\inclusion\In_30.bmp,1,夹杂
raw\images\pitted_surface\PS_300.bmp,3,麻点
raw\images\patches\Pa_99.bmp,2,斑块
raw\images\crazing\Cr_73.bmp,0,裂纹
raw\images\crazing\Cr_280.bmp,0,裂纹
raw\images\scratches\Sc_112.bmp,5,划痕
raw\images\crazing\Cr_188.bmp,0,裂纹
raw\images\inclusion\In_111.bmp,1,夹杂
raw\images\scratches\Sc_214.bmp,5,划痕
raw\images\rolled-in_scale\RS_8.bmp,4,氧化铁皮
raw\images\patches\Pa_186.bmp,2,斑块
raw\images\scratches\Sc_218.bmp,5,划痕
raw\images\crazing\Cr_43.bmp,0,裂纹
raw\images\patches\Pa_23.bmp,2,斑块
raw\images\rolled-in_scale\RS_254.bmp,4,氧化铁皮
raw\images\patches\Pa_1.bmp,2,斑块
raw\images\inclusion\In_98.bmp,1,夹杂
raw\images\inclusion\In_156.bmp,1,夹杂
raw\images\crazing\Cr_63.bmp,0,裂纹
raw\images\inclusion\In_186.bmp,1,夹杂
raw\images\rolled-in_scale\RS_172.bmp,4,氧化铁皮
raw\images\crazing\Cr_300.bmp,0,裂纹
raw\images\pitted_surface\PS_193.bmp,3,麻点
raw\images\crazing\Cr_229.bmp,0,裂纹
raw\images\scratches\Sc_3.bmp,5,划痕
raw\images\pitted_surface\PS_118.bmp,3,麻点
raw\images\pitted_surface\PS_174.bmp,3,麻点
raw\images\pitted_surface\PS_139.bmp,3,麻点
raw\images\scratches\Sc_171.bmp,5,划痕
raw\images\crazing\Cr_37.bmp,0,裂纹
raw\images\patches\Pa_121.bmp,2,斑块
raw\images\crazing\Cr_164.bmp,0,裂纹
raw\images\rolled-in_scale\RS_184.bmp,4,氧化铁皮
raw\images\patches\Pa_239.bmp,2,斑块
raw\images\inclusion\In_278.bmp,1,夹杂
raw\images\pitted_surface\PS_100.bmp,3,麻点
raw\images\scratches\Sc_87.bmp,5,划痕
raw\images\patches\Pa_138.bmp,2,斑块
raw\images\crazing\Cr_181.bmp,0,裂纹
raw\images\pitted_surface\PS_94.bmp,3,麻点
raw\images\crazing\Cr_24.bmp,0,裂纹
raw\images\rolled-in_scale\RS_65.bmp,4,氧化铁皮
raw\images\inclusion\In_268.bmp,1,夹杂
raw\images\pitted_surface\PS_222.bmp,3,麻点
raw\images\rolled-in_scale\RS_125.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_93.bmp,4,氧化铁皮
raw\images\inclusion\In_144.bmp,1,夹杂
raw\images\inclusion\In_218.bmp,1,夹杂
raw\images\patches\Pa_103.bmp,2,斑块
raw\images\pitted_surface\PS_61.bmp,3,麻点
raw\images\rolled-in_scale\RS_201.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_270.bmp,3,麻点
raw\images\patches\Pa_113.bmp,2,斑块
raw\images\rolled-in_scale\RS_262.bmp,4,氧化铁皮
raw\images\crazing\Cr_238.bmp,0,裂纹
raw\images\crazing\Cr_295.bmp,0,裂纹
raw\images\patches\Pa_150.bmp,2,斑块
raw\images\rolled-in_scale\RS_138.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_210.bmp,4,氧化铁皮
raw\images\patches\Pa_155.bmp,2,斑块
raw\images\pitted_surface\PS_58.bmp,3,麻点
raw\images\rolled-in_scale\RS_194.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_46.bmp,3,麻点
raw\images\patches\Pa_181.bmp,2,斑块
raw\images\scratches\Sc_168.bmp,5,划痕
raw\images\patches\Pa_285.bmp,2,斑块
raw\images\inclusion\In_151.bmp,1,夹杂
raw\images\rolled-in_scale\RS_82.bmp,4,氧化铁皮
raw\images\crazing\Cr_83.bmp,0,裂纹
raw\images\crazing\Cr_213.bmp,0,裂纹
raw\images\scratches\Sc_115.bmp,5,划痕
raw\images\pitted_surface\PS_286.bmp,3,麻点
raw\images\patches\Pa_141.bmp,2,斑块
raw\images\rolled-in_scale\RS_300.bmp,4,氧化铁皮
raw\images\scratches\Sc_276.bmp,5,划痕
raw\images\scratches\Sc_160.bmp,5,划痕
raw\images\patches\Pa_247.bmp,2,斑块
raw\images\crazing\Cr_286.bmp,0,裂纹
raw\images\pitted_surface\PS_285.bmp,3,麻点
raw\images\crazing\Cr_174.bmp,0,裂纹
raw\images\crazing\Cr_51.bmp,0,裂纹
raw\images\crazing\Cr_91.bmp,0,裂纹
raw\images\scratches\Sc_268.bmp,5,划痕
raw\images\crazing\Cr_262.bmp,0,裂纹
raw\images\crazing\Cr_84.bmp,0,裂纹
raw\images\rolled-in_scale\RS_112.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_185.bmp,4,氧化铁皮
raw\images\scratches\Sc_194.bmp,5,划痕
raw\images\rolled-in_scale\RS_299.bmp,4,氧化铁皮
raw\images\inclusion\In_223.bmp,1,夹杂
raw\images\pitted_surface\PS_142.bmp,3,麻点
raw\images\patches\Pa_294.bmp,2,斑块
raw\images\patches\Pa_215.bmp,2,斑块
raw\images\scratches\Sc_79.bmp,5,划痕
raw\images\inclusion\In_17.bmp,1,夹杂
raw\images\crazing\Cr_44.bmp,0,裂纹
raw\images\crazing\Cr_30.bmp,0,裂纹
raw\images\scratches\Sc_34.bmp,5,划痕
raw\images\rolled-in_scale\RS_34.bmp,4,氧化铁皮
raw\images\scratches\Sc_47.bmp,5,划痕
raw\images\scratches\Sc_292.bmp,5,划痕
raw\images\inclusion\In_110.bmp,1,夹杂
raw\images\pitted_surface\PS_60.bmp,3,麻点
raw\images\inclusion\In_202.bmp,1,夹杂
raw\images\scratches\Sc_267.bmp,5,划痕
raw\images\rolled-in_scale\RS_26.bmp,4,氧化铁皮
raw\images\patches\Pa_213.bmp,2,斑块
raw\images\pitted_surface\PS_83.bmp,3,麻点
raw\images\patches\Pa_151.bmp,2,斑块
raw\images\patches\Pa_249.bmp,2,斑块
raw\images\rolled-in_scale\RS_240.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_18.bmp,3,麻点
raw\images\crazing\Cr_177.bmp,0,裂纹
raw\images\inclusion\In_157.bmp,1,夹杂
raw\images\patches\Pa_115.bmp,2,斑块
raw\images\inclusion\In_126.bmp,1,夹杂
raw\images\scratches\Sc_1.bmp,5,划痕
raw\images\rolled-in_scale\RS_186.bmp,4,氧化铁皮
raw\images\inclusion\In_201.bmp,1,夹杂
raw\images\inclusion\In_14.bmp,1,夹杂
raw\images\crazing\Cr_230.bmp,0,裂纹
raw\images\pitted_surface\PS_5.bmp,3,麻点
raw\images\crazing\Cr_27.bmp,0,裂纹
raw\images\inclusion\In_206.bmp,1,夹杂
raw\images\rolled-in_scale\RS_193.bmp,4,氧化铁皮
raw\images\scratches\Sc_94.bmp,5,划痕
raw\images\crazing\Cr_232.bmp,0,裂纹
raw\images\crazing\Cr_22.bmp,0,裂纹
raw\images\inclusion\In_248.bmp,1,夹杂
raw\images\inclusion\In_112.bmp,1,夹杂
raw\images\crazing\Cr_275.bmp,0,裂纹
raw\images\rolled-in_scale\RS_76.bmp,4,氧化铁皮
raw\images\patches\Pa_28.bmp,2,斑块
raw\images\patches\Pa_270.bmp,2,斑块
raw\images\patches\Pa_92.bmp,2,斑块
raw\images\scratches\Sc_132.bmp,5,划痕
raw\images\pitted_surface\PS_31.bmp,3,麻点
raw\images\pitted_surface\PS_252.bmp,3,麻点
raw\images\crazing\Cr_228.bmp,0,裂纹
raw\images\scratches\Sc_54.bmp,5,划痕
raw\images\pitted_surface\PS_105.bmp,3,麻点
raw\images\inclusion\In_66.bmp,1,夹杂
raw\images\inclusion\In_225.bmp,1,夹杂
raw\images\rolled-in_scale\RS_291.bmp,4,氧化铁皮
raw\images\scratches\Sc_58.bmp,5,划痕
raw\images\patches\Pa_257.bmp,2,斑块
raw\images\patches\Pa_56.bmp,2,斑块
raw\images\inclusion\In_271.bmp,1,夹杂
raw\images\pitted_surface\PS_237.bmp,3,麻点
raw\images\crazing\Cr_105.bmp,0,裂纹
raw\images\inclusion\In_42.bmp,1,夹杂
raw\images\patches\Pa_80.bmp,2,斑块
raw\images\scratches\Sc_136.bmp,5,划痕
raw\images\inclusion\In_263.bmp,1,夹杂
raw\images\patches\Pa_195.bmp,2,斑块
raw\images\inclusion\In_131.bmp,1,夹杂
raw\images\inclusion\In_233.bmp,1,夹杂
raw\images\rolled-in_scale\RS_133.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_65.bmp,3,麻点
raw\images\rolled-in_scale\RS_179.bmp,4,氧化铁皮
raw\images\inclusion\In_45.bmp,1,夹杂
raw\images\patches\Pa_11.bmp,2,斑块
raw\images\crazing\Cr_247.bmp,0,裂纹
raw\images\rolled-in_scale\RS_156.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_134.bmp,4,氧化铁皮
raw\images\inclusion\In_86.bmp,1,夹杂
raw\images\scratches\Sc_233.bmp,5,划痕
raw\images\inclusion\In_230.bmp,1,夹杂
raw\images\crazing\Cr_158.bmp,0,裂纹
raw\images\pitted_surface\PS_289.bmp,3,麻点
raw\images\crazing\Cr_271.bmp,0,裂纹
raw\images\rolled-in_scale\RS_222.bmp,4,氧化铁皮
raw\images\crazing\Cr_16.bmp,0,裂纹
raw\images\pitted_surface\PS_219.bmp,3,麻点
raw\images\scratches\Sc_293.bmp,5,划痕
raw\images\patches\Pa_30.bmp,2,斑块
raw\images\rolled-in_scale\RS_9.bmp,4,氧化铁皮
raw\images\patches\Pa_275.bmp,2,斑块
raw\images\patches\Pa_157.bmp,2,斑块
raw\images\crazing\Cr_157.bmp,0,裂纹
raw\images\inclusion\In_124.bmp,1,夹杂
raw\images\inclusion\In_160.bmp,1,夹杂
raw\images\scratches\Sc_95.bmp,5,划痕
raw\images\patches\Pa_71.bmp,2,斑块
raw\images\patches\Pa_288.bmp,2,斑块
raw\images\inclusion\In_231.bmp,1,夹杂
raw\images\inclusion\In_51.bmp,1,夹杂
raw\images\scratches\Sc_252.bmp,5,划痕
raw\images\crazing\Cr_235.bmp,0,裂纹
raw\images\rolled-in_scale\RS_189.bmp,4,氧化铁皮
raw\images\patches\Pa_280.bmp,2,斑块
raw\images\patches\Pa_116.bmp,2,斑块
raw\images\pitted_surface\PS_71.bmp,3,麻点
raw\images\rolled-in_scale\RS_287.bmp,4,氧化铁皮
raw\images\rolled-in_scale\RS_245.bmp,4,氧化铁皮
raw\images\patches\Pa_18.bmp,2,斑块
raw\images\crazing\Cr_222.bmp,0,裂纹
raw\images\inclusion\In_210.bmp,1,夹杂
raw\images\scratches\Sc_211.bmp,5,划痕
raw\images\crazing\Cr_95.bmp,0,裂纹
raw\images\rolled-in_scale\RS_97.bmp,4,氧化铁皮
raw\images\inclusion\In_105.bmp,1,夹杂
raw\images\pitted_surface\PS_176.bmp,3,麻点
raw\images\patches\Pa_3.bmp,2,斑块
raw\images\inclusion\In_242.bmp,1,夹杂
raw\images\inclusion\In_258.bmp,1,夹杂
raw\images\inclusion\In_299.bmp,1,夹杂
raw\images\crazing\Cr_272.bmp,0,裂纹
raw\images\pitted_surface\PS_225.bmp,3,麻点
raw\images\scratches\Sc_82.bmp,5,划痕
raw\images\scratches\Sc_57.bmp,5,划痕
raw\images\pitted_surface\PS_293.bmp,3,麻点
raw\images\crazing\Cr_131.bmp,0,裂纹
raw\images\scratches\Sc_277.bmp,5,划痕
